fips,geo_name,state_abb,type,population_2020,n,lng,lat
4845384,mcallen,TX,City,142210,13,-98.24590311,26.22076532
4872176,temple,TX,City,82073,13,-97.36206575,31.09692806
0121184,dothan,AL,City,71072,12,-85.40705829,31.23349546
0439370,lake havasu city,AZ,City,57144,12,-114.343995,34.47523425
1236950,kissimmee,FL,City,79226,12,-81.42406086,28.30449219
1243975,melbourne,FL,City,84678,12,-80.60966227,28.07887436
1875428,terre haute,IN,City,58389,12,-87.41076044,39.46847797
2717288,eagan,MN,City,68855,12,-93.16379062,44.81681422
3032800,great falls,MT,City,60442,12,-111.2987929,47.50155015
3714100,concord,NC,City,105240,12,-80.58179214,35.41209126
0523290,fayetteville,AR,City,93949,11,-94.16624986,36.07200425
2659440,novi,MI,City,66243,11,-83.48925483,42.47851888
2906652,blue springs,MO,City,58603,11,-94.27212877,39.0122304
4147000,medford,OR,City,85824,11,-122.8533119,42.33701989
4733280,hendersonville,TN,City,61753,11,-86.59896679,36.30778572
4822660,edinburg,TX,City,100243,11,-98.16223647,26.31828191
4857200,pharr,TX,City,79715,11,-98.19037187,26.16860847
5380010,yakima,WA,City,96968,11,-120.5117455,46.60155688
5540775,la crosse,WI,City,52680,11,-91.24688125,43.82009429
5584250,waukesha,WI,City,71158,11,-88.24544927,43.00910272
1250750,ocala,FL,City,63591,10,-82.1569405,29.18677365
1754820,oak lawn,IL,City,58362,10,-87.75277882,41.71388461
2679000,taylor,MI,City,63409,10,-83.26881155,42.22604612
3709060,burlington,NC,City,57303,10,-79.4400015,36.08685801
4023950,enid,OK,City,51308,10,-97.87774336,36.39702979
4810912,bryan,TX,City,83980,10,-96.36855108,30.66735438
5502375,appleton,WI,City,75644,10,-88.41937141,44.26223853
0404720,avondale,AZ,City,89334,9,-112.3429055,33.43768561
0471510,surprise,AZ,City,143148,9,-112.3665968,33.62270323
1707133,bolingbrook,IL,City,73922,9,-88.10116567,41.69125158
1751089,mount prospect,IL,City,56852,9,-87.93746886,42.06436077
1754885,oak park,IL,City,54583,9,-87.78994334,41.88716587
1757225,palatine,IL,City,67908,9,-88.04297086,42.1180689
1768003,schaumburg,IL,City,78723,9,-88.06766134,42.02636933
2642820,kentwood,MI,City,54304,9,-85.5747185,42.88353326
3458200,perth amboy,NJ,City,55436,9,-74.27224466,40.52210702
3941664,lakewood,OH,City,50942,9,-81.79954798,41.48276501
4824768,euless,TX,City,61032,9,-97.07983958,32.85070858
0135896,hoover,AL,City,92606,8,-86.80424998,33.38750872
0535710,jonesboro,AR,City,78576,8,-90.67934824,35.82110616
1207950,bradenton,FL,City,55698,8,-82.58868294,27.48403927
1801468,anderson,IN,City,54788,8,-85.68937219,40.08948197
1820728,elkhart,IN,City,53923,8,-85.9652405,41.68109728
2572600,waltham,MA,City,65218,8,-71.24232748,42.388924
3476070,vineland,NJ,City,60780,8,-75.02608394,39.48451645
3735200,kannapolis,NC,City,53114,8,-80.63337058,35.47760213
3919778,cuyahoga falls,OH,City,51114,8,-81.48427625,41.14025307
4703440,bartlett,TN,City,57786,8,-89.85000018,35.20320566
4801924,allen,TX,City,104627,8,-96.67266751,33.10885397
4945860,logan,UT,City,52778,8,-111.8418816,41.74072679
1301052,albany,GA,City,69647,7,-84.17625593,31.57756315
2039350,lenexa,KS,City,57434,7,-94.74069109,38.95989631
2552490,peabody,MA,City,54481,7,-70.93192618,42.5275469
3419390,east orange,NJ,City,69612,7,-74.21177033,40.765057
3807200,bismarck,ND,City,73622,7,-100.7695245,46.81247011
